# Chunk-averaged data for fix denprof and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
4500000 1200 20000
  1 -49.5526 15.939 0.176405
  2 -49.4699 16.071 0.177866
  3 -49.3872 16.142 0.178652
  4 -49.3046 16.038 0.177501
  5 -49.2219 16.103 0.17822
  6 -49.1393 16.137 0.178596
  7 -49.0566 16.292 0.180312
  8 -48.974 16.204 0.179338
  9 -48.8913 16.191 0.179194
  10 -48.8086 16.201 0.179305
  11 -48.726 16.285 0.180234
  12 -48.6433 16.125 0.178463
  13 -48.5607 16.022 0.177323
  14 -48.478 16.293 0.180323
  15 -48.3954 16.012 0.177213
  16 -48.3127 16.055 0.177689
  17 -48.23 16.49 0.182503
  18 -48.1474 16.03 0.177412
  19 -48.0647 16.297 0.180367
  20 -47.9821 15.974 0.176792
  21 -47.8994 16.046 0.177589
  22 -47.8168 16.131 0.17853
  23 -47.7341 16.097 0.178154
  24 -47.6515 15.857 0.175497
  25 -47.5688 16.142 0.178652
  26 -47.4861 16.024 0.177346
  27 -47.4035 16.234 0.17967
  28 -47.3208 16.268 0.180046
  29 -47.2382 16.164 0.178895
  30 -47.1555 16.169 0.17895
  31 -47.0729 16.106 0.178253
  32 -46.9902 16.124 0.178452
  33 -46.9075 15.909 0.176073
  34 -46.8249 16.321 0.180633
  35 -46.7422 16.13 0.178519
  36 -46.6596 15.957 0.176604
  37 -46.5769 16.133 0.178552
  38 -46.4943 16.241 0.179747
  39 -46.4116 16.105 0.178242
  40 -46.3289 16.378 0.181264
  41 -46.2463 16.222 0.179537
  42 -46.1636 16.061 0.177755
  43 -46.081 16.23 0.179626
  44 -45.9983 16.238 0.179714
  45 -45.9157 16.315 0.180566
  46 -45.833 16.296 0.180356
  47 -45.7504 16.471 0.182293
  48 -45.6677 16.521 0.182846
  49 -45.585 16.393 0.18143
  50 -45.5024 16.25 0.179847
  51 -45.4197 16.42 0.181728
  52 -45.3371 16.303 0.180433
  53 -45.2544 16.186 0.179139
  54 -45.1718 15.976 0.176814
  55 -45.0891 16.175 0.179017
  56 -45.0064 16.221 0.179526
  57 -44.9238 16.337 0.18081
  58 -44.8411 16.266 0.180024
  59 -44.7585 16.155 0.178795
  60 -44.6758 16.257 0.179924
  61 -44.5932 16.089 0.178065
  62 -44.5105 16.397 0.181474
  63 -44.4279 16.328 0.18071
  64 -44.3452 16.128 0.178497
  65 -44.2625 16.158 0.178829
  66 -44.1799 16.493 0.182536
  67 -44.0972 16.319 0.180611
  68 -44.0146 16.091 0.178087
  69 -43.9319 16.275 0.180124
  70 -43.8493 16.217 0.179482
  71 -43.7666 16.321 0.180633
  72 -43.6839 16.15 0.17874
  73 -43.6013 16.139 0.178618
  74 -43.5186 16.15 0.17874
  75 -43.436 16.377 0.181252
  76 -43.3533 16.056 0.1777
  77 -43.2707 16.072 0.177877
  78 -43.188 16.032 0.177434
  79 -43.1053 16.327 0.180699
  80 -43.0227 16.148 0.178718
  81 -42.94 15.997 0.177047
  82 -42.8574 16.111 0.178308
  83 -42.7747 16.035 0.177467
  84 -42.6921 16.237 0.179703
  85 -42.6094 16 0.17708
  86 -42.5268 16.247 0.179814
  87 -42.4441 16.012 0.177213
  88 -42.3614 16.191 0.179194
  89 -42.2788 16.251 0.179858
  90 -42.1961 15.976 0.176814
  91 -42.1135 16.162 0.178873
  92 -42.0308 16.181 0.179083
  93 -41.9482 16.26 0.179958
  94 -41.8655 16.317 0.180588
  95 -41.7828 16.414 0.181662
  96 -41.7002 16.088 0.178054
  97 -41.6175 16.278 0.180157
  98 -41.5349 16.096 0.178142
  99 -41.4522 16.214 0.179448
  100 -41.3696 16.021 0.177312
  101 -41.2869 16.049 0.177622
  102 -41.2042 16.062 0.177766
  103 -41.1216 16.344 0.180887
  104 -41.0389 16.283 0.180212
  105 -40.9563 16.339 0.180832
  106 -40.8736 16.25 0.179847
  107 -40.791 15.974 0.176792
  108 -40.7083 16.146 0.178696
  109 -40.6257 16.119 0.178397
  110 -40.543 15.984 0.176903
  111 -40.4603 16.103 0.17822
  112 -40.3777 16.039 0.177512
  113 -40.295 16.293 0.180323
  114 -40.2124 16.1 0.178187
  115 -40.1297 16.096 0.178142
  116 -40.0471 16.173 0.178995
  117 -39.9644 16.088 0.178054
  118 -39.8817 16.108 0.178275
  119 -39.7991 16.003 0.177113
  120 -39.7164 16.093 0.178109
  121 -39.6338 15.98 0.176859
  122 -39.5511 16.099 0.178176
  123 -39.4685 16.27 0.180068
  124 -39.3858 16.157 0.178818
  125 -39.3031 16.112 0.17832
  126 -39.2205 16.378 0.181264
  127 -39.1378 16.115 0.178353
  128 -39.0552 16.289 0.180279
  129 -38.9725 16.186 0.179139
  130 -38.8899 16.423 0.181762
  131 -38.8072 16.233 0.179659
  132 -38.7246 16.139 0.178618
  133 -38.6419 16.376 0.181241
  134 -38.5592 16.32 0.180622
  135 -38.4766 16.148 0.178718
  136 -38.3939 16.135 0.178574
  137 -38.3113 16.351 0.180965
  138 -38.2286 16.372 0.181197
  139 -38.146 16.417 0.181695
  140 -38.0633 16.331 0.180743
  141 -37.9806 16.482 0.182415
  142 -37.898 16.579 0.183488
  143 -37.8153 16.526 0.182902
  144 -37.7327 16.48 0.182392
  145 -37.65 16.533 0.182979
  146 -37.5674 16.342 0.180865
  147 -37.4847 16.382 0.181308
  148 -37.4021 16.111 0.178308
  149 -37.3194 16.193 0.179216
  150 -37.2367 16.312 0.180533
  151 -37.1541 16.204 0.179338
  152 -37.0714 16.297 0.180367
  153 -36.9888 16.277 0.180146
  154 -36.9061 16.337 0.18081
  155 -36.8235 16.588 0.183588
  156 -36.7408 16.627 0.184019
  157 -36.6581 16.342 0.180865
  158 -36.5755 16.614 0.183875
  159 -36.4928 16.342 0.180865
  160 -36.4102 16.26 0.179958
  161 -36.3275 16.376 0.181241
  162 -36.2449 16.315 0.180566
  163 -36.1622 16.512 0.182747
  164 -36.0795 16.51 0.182724
  165 -35.9969 16.447 0.182027
  166 -35.9142 16.263 0.179991
  167 -35.8316 16.221 0.179526
  168 -35.7489 16.337 0.18081
  169 -35.6663 16.458 0.182149
  170 -35.5836 16.451 0.182071
  171 -35.501 16.503 0.182647
  172 -35.4183 16.59 0.18361
  173 -35.3356 16.488 0.182481
  174 -35.253 16.837 0.186343
  175 -35.1703 16.706 0.184894
  176 -35.0877 16.55 0.183167
  177 -35.005 16.526 0.182902
  178 -34.9224 16.447 0.182027
  179 -34.8397 16.599 0.183709
  180 -34.757 16.491 0.182514
  181 -34.6744 16.466 0.182237
  182 -34.5917 16.703 0.18486
  183 -34.5091 16.635 0.184108
  184 -34.4264 16.591 0.183621
  185 -34.3438 16.687 0.184683
  186 -34.2611 16.762 0.185513
  187 -34.1784 16.607 0.183798
  188 -34.0958 16.596 0.183676
  189 -34.0131 16.463 0.182204
  190 -33.9305 16.595 0.183665
  191 -33.8478 16.601 0.183732
  192 -33.7652 16.553 0.1832
  193 -33.6825 16.639 0.184152
  194 -33.5999 16.402 0.181529
  195 -33.5172 16.586 0.183566
  196 -33.4345 16.499 0.182603
  197 -33.3519 16.546 0.183123
  198 -33.2692 16.452 0.182083
  199 -33.1866 16.73 0.185159
  200 -33.1039 16.697 0.184794
  201 -33.0213 16.549 0.183156
  202 -32.9386 16.508 0.182702
  203 -32.8559 16.961 0.187716
  204 -32.7733 16.814 0.186089
  205 -32.6906 16.567 0.183355
  206 -32.608 16.679 0.184595
  207 -32.5253 16.643 0.184196
  208 -32.4427 16.657 0.184351
  209 -32.36 16.816 0.186111
  210 -32.2773 16.526 0.182902
  211 -32.1947 16.747 0.185347
  212 -32.112 16.737 0.185237
  213 -32.0294 16.643 0.184196
  214 -31.9467 16.76 0.185491
  215 -31.8641 16.708 0.184916
  216 -31.7814 16.728 0.185137
  217 -31.6988 17.026 0.188435
  218 -31.6161 16.917 0.187229
  219 -31.5334 16.607 0.183798
  220 -31.4508 16.85 0.186487
  221 -31.3681 16.733 0.185192
  222 -31.2855 17 0.188147
  223 -31.2028 16.863 0.186631
  224 -31.1202 16.835 0.186321
  225 -31.0375 16.93 0.187373
  226 -30.9548 17.087 0.18911
  227 -30.8722 16.645 0.184219
  228 -30.7895 16.788 0.185801
  229 -30.7069 16.784 0.185757
  230 -30.6242 16.831 0.186277
  231 -30.5416 16.849 0.186476
  232 -30.4589 16.742 0.185292
  233 -30.3763 16.802 0.185956
  234 -30.2936 16.762 0.185513
  235 -30.2109 16.974 0.18786
  236 -30.1283 16.84 0.186377
  237 -30.0456 16.883 0.186853
  238 -29.963 16.783 0.185746
  239 -29.8803 16.769 0.185591
  240 -29.7977 16.596 0.183676
  241 -29.715 16.672 0.184517
  242 -29.6323 16.701 0.184838
  243 -29.5497 16.587 0.183577
  244 -29.467 16.841 0.186388
  245 -29.3844 16.584 0.183543
  246 -29.3017 16.753 0.185414
  247 -29.2191 16.799 0.185923
  248 -29.1364 16.978 0.187904
  249 -29.0537 16.733 0.185192
  250 -28.9711 16.679 0.184595
  251 -28.8884 16.993 0.18807
  252 -28.8058 16.998 0.188125
  253 -28.7231 17.102 0.189276
