# Chunk-averaged data for fix denprof and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
9500000 1200 20000
  1 -49.5526 16.649 0.184263
  2 -49.4699 16.694 0.184761
  3 -49.3872 16.568 0.183366
  4 -49.3046 16.683 0.184639
  5 -49.2219 16.675 0.184551
  6 -49.1393 16.665 0.18444
  7 -49.0566 16.464 0.182215
  8 -48.974 16.613 0.183864
  9 -48.8913 16.672 0.184517
  10 -48.8086 16.485 0.182448
  11 -48.726 16.417 0.181695
  12 -48.6433 16.864 0.186642
  13 -48.5607 16.506 0.18268
  14 -48.478 16.768 0.18558
  15 -48.3954 16.468 0.18226
  16 -48.3127 16.889 0.186919
  17 -48.23 16.627 0.184019
  18 -48.1474 16.835 0.186321
  19 -48.0647 16.393 0.18143
  20 -47.9821 16.717 0.185015
  21 -47.8994 16.868 0.186687
  22 -47.8168 16.782 0.185735
  23 -47.7341 16.88 0.186819
  24 -47.6515 16.395 0.181452
  25 -47.5688 16.704 0.184872
  26 -47.4861 16.645 0.184219
  27 -47.4035 16.706 0.184894
  28 -47.3208 16.682 0.184628
  29 -47.2382 16.932 0.187395
  30 -47.1555 16.655 0.184329
  31 -47.0729 16.546 0.183123
  32 -46.9902 16.619 0.183931
  33 -46.9075 16.635 0.184108
  34 -46.8249 16.902 0.187063
  35 -46.7422 16.733 0.185192
  36 -46.6596 16.605 0.183776
  37 -46.5769 16.807 0.186011
  38 -46.4943 16.72 0.185049
  39 -46.4116 16.761 0.185502
  40 -46.3289 16.678 0.184584
  41 -46.2463 16.758 0.185469
  42 -46.1636 16.733 0.185192
  43 -46.081 16.624 0.183986
  44 -45.9983 16.582 0.183521
  45 -45.9157 16.872 0.186731
  46 -45.833 16.703 0.18486
  47 -45.7504 16.674 0.184539
  48 -45.6677 16.567 0.183355
  49 -45.585 16.544 0.183101
  50 -45.5024 16.748 0.185358
  51 -45.4197 16.794 0.185868
  52 -45.3371 16.758 0.185469
  53 -45.2544 16.74 0.18527
  54 -45.1718 16.629 0.184041
  55 -45.0891 16.879 0.186808
  56 -45.0064 16.592 0.183632
  57 -44.9238 16.397 0.181474
  58 -44.8411 16.73 0.185159
  59 -44.7585 16.754 0.185425
  60 -44.6758 16.424 0.181773
  61 -44.5932 16.496 0.182569
  62 -44.5105 16.586 0.183566
  63 -44.4279 16.621 0.183953
  64 -44.3452 16.733 0.185192
  65 -44.2625 16.875 0.186764
  66 -44.1799 16.524 0.182879
  67 -44.0972 16.532 0.182968
  68 -44.0146 16.635 0.184108
  69 -43.9319 16.678 0.184584
  70 -43.8493 16.647 0.184241
  71 -43.7666 16.608 0.183809
  72 -43.6839 16.705 0.184883
  73 -43.6013 16.676 0.184562
  74 -43.5186 16.581 0.18351
  75 -43.436 16.639 0.184152
  76 -43.3533 16.57 0.183388
  77 -43.2707 16.7 0.184827
  78 -43.188 16.722 0.185071
  79 -43.1053 16.828 0.186244
  80 -43.0227 16.591 0.183621
  81 -42.94 16.39 0.181396
  82 -42.8574 16.773 0.185635
  83 -42.7747 16.537 0.183023
  84 -42.6921 16.724 0.185093
  85 -42.6094 16.424 0.181773
  86 -42.5268 16.649 0.184263
  87 -42.4441 16.541 0.183068
  88 -42.3614 16.652 0.184296
  89 -42.2788 16.63 0.184053
  90 -42.1961 16.552 0.183189
  91 -42.1135 16.73 0.185159
  92 -42.0308 16.567 0.183355
  93 -41.9482 16.6 0.18372
  94 -41.8655 16.609 0.18382
  95 -41.7828 16.459 0.18216
  96 -41.7002 16.711 0.184949
  97 -41.6175 16.654 0.184318
